"","frequency"
"1",4
"2",12
"3",12
"4",12
"5",12
"6",12
"7",4
"8",12
"9",12
"10",12
"11",12
"12",4
"13",13
"14",12
"15",12
"16",12
"17",12
"18",12
"19",12
"20",12
"21",1
"22",1
"23",1
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",1
"36",1
"37",1
"38",1
"39",1
"40",1
"41",1
"42",1
"43",1
"44",1
"45",1
"46",1
"47",1
"48",12
"49",1
"50",1
"51",1
"52",1
"53",1
"54",1
"55",1
"56",1
"57",1
"58",1
"59",1
"60",1
"61",1
"62",12
"63",1
"64",12
"65",12
"66",12
"67",12
"68",12
"69",12
"70",12
"71",12
"72",12
"73",12
"74",12
"75",12
"76",12
"77",12
"78",12
"79",12
"80",12
"81",12
"82",12
"83",12
"84",12
"85",12
"86",12
"87",12
"88",12
"89",12
"90",12
"91",365
"92",365
"93",365
"94",4
"95",4
"96",12
"97",4
"98",12
"99",4
"100",4
"101",12
"102",12
"103",12
"104",4
"105",4
"106",4
"107",4
"108",4
"109",4
"110",4
"111",4
"112",4
"113",12
"114",12
"115",12
"116",4
"117",12
"118",4
"119",12
"120",4
"121",12
"122",12
"123",4
"124",12
"125",4
"126",1
"127",4
"128",4
"129",12
"130",4
"131",4
"132",4
"133",4
"134",12
"135",4
"136",4
"137",4
"138",4
"139",4
"140",12
"141",12
"142",12
"143",12
"144",12
"145",4
"146",12
"147",12
"148",4
"149",12
"150",4
"151",12
"152",4
"153",12
"154",4
"155",12
"156",12
"157",12
"158",4
"159",1
"160",12
"161",12
"162",1
"163",1
"164",1
"165",1
"166",1
"167",1
"168",1
"169",1
"170",1
"171",1
"172",1
"173",1
"174",1
"175",1
"176",1
"177",1
"178",12
"179",1
"180",0.1
"181",1
"182",12
"183",1
"184",12
"185",4
"186",12
"187",12
"188",1
"189",1
"190",1
"191",1
"192",12
"193",4
"194",12
"195",4
"196",12
"197",12
"198",12
"199",4
"200",12
"201",12
"202",12
"203",12
"204",12
"205",1
"206",1
"207",1
"208",1
"209",12
"210",1
"211",1
"212",1
"213",1
"214",1
"215",1
"216",1
"217",1
"218",1
"219",1
"220",52
"221",1
"222",1
"223",1
"224",1
"225",1
"226",12
"227",1
"228",12
"229",1
"230",12
"231",12
"232",12
"233",1
"234",1
"235",12
"236",1
"237",1
"238",5
"239",1
"240",1
"241",12
"242",6
"243",12
"244",12
"245",12
"246",12
"247",12
"248",12
"249",12
"250",12
"251",12
"252",1
"253",1
"254",1
"255",1
"256",1
"257",1
"258",1
"259",12
"260",1
"261",12
"262",12
"263",1
"264",1
"265",12
"266",1
"267",1
"268",1
"269",365
"270",365
"271",365
"272",12
"273",12
"274",1
"275",12
"276",1
"277",1
"278",12
"279",1
"280",1
"281",1
"282",1
"283",1
"284",12
"285",12
"286",1
"287",1
"288",1
"289",1
"290",12
"291",12
"292",1
"293",1
"294",1
"295",1
"296",1
"297",1
"298",1
"299",12
"300",12
"301",1
"302",12
"303",1
"304",12
"305",12
"306",12
"307",1
"308",1
"309",12
"310",1
"311",12
"312",1
"313",1
"314",12
"315",1
"316",1
"317",12
"318",1
"319",13
"320",12
"321",1
"322",1
"323",12
"324",1
"325",12
"326",1
"327",1
"328",1
"329",365
"330",365
"331",365
"332",12
"333",1
"334",12
"335",1
"336",12
"337",1
"338",12
"339",12
"340",1
"341",1
"342",1
"343",12
"344",12
"345",12
"346",12
"347",1
"348",365
"349",4
"350",1
"351",12
"352",12
"353",1
"354",12
"355",1
"356",12
"357",12
"358",12
"359",365
"360",365
"361",12
"362",365
"363",365
"364",12
"365",1
"366",1
"367",1
"368",1
"369",1
"370",1
"371",12
"372",12
"373",12
"374",1
"375",12
"376",12
"377",12
"378",12
"379",1
"380",1
"381",1
"382",12
"383",12
"384",12
"385",12
"386",12
"387",12
"388",1
"389",1
"390",12
"391",12
"392",12
"393",12
"394",12
"395",1
"396",1
"397",1
"398",12
"399",1
"400",12
"401",12
"402",1
"403",1
"404",1
"405",12
"406",1
"407",1
"408",1
"409",52
"410",1
"411",4
"412",1
"413",12
"414",4
"415",4
"416",4
"417",4
"418",4
"419",1
"420",12
"421",12
"422",12
"423",52
"424",52
"425",52
"426",52
"427",52
"428",52
"429",12
"430",12
"431",12
"432",12
"433",12
"434",12
"435",12
"436",12
"437",1
"438",1
"439",1
"440",1
"441",1
"442",1
"443",4
"444",1
"445",1
"446",1
"447",12
"448",1
"449",12
"450",4
"451",4
"452",1
"453",12
"454",12
"455",12
"456",12
"457",1
"458",4
"459",12
"460",12
"461",12
"462",1
"463",1
"464",1
"465",0.25
"466",12
"467",12
"468",12
"469",12
"470",12
"471",1
"472",1
"473",12
"474",1
"475",1
"476",12
"477",1
"478",1
"479",1
"480",1
"481",1
"482",1
"483",12
"484",12
"485",1
"486",13
"487",12
"488",1
"489",1
"490",1
"491",1
"492",12
"493",12
"494",12
"495",1
"496",12
"497",12
"498",1
"499",1
"500",52
"501",1
"502",52
"503",1
"504",52
"505",1
"506",1
"507",52
"508",1
"509",12
"510",1
"511",1
"512",1
"513",4
"514",4
"515",12
"516",1
"517",1
"518",1
"519",1
"520",1
"521",1
"522",1
"523",1
"524",1
"525",1
"526",1
"527",1
"528",1
"529",1
"530",1
"531",1
"532",365
"533",12
"534",12
"535",1
"536",1
"537",365
"538",12
"539",12
"540",12
"541",1
"542",1
"543",12
"544",12
"545",12
"546",12
"547",1
"548",1
"549",1
"550",1
"551",1
"552",1
"553",1
"554",4
"555",4
"556",12
"557",4
"558",4
"559",52
"560",12
"561",52
"562",1
"563",52
"564",4
"565",12
"566",1
"567",12
"568",4
"569",12
"570",1
"571",1
"572",1
"573",1
"574",1
"575",1
"576",1
"577",1
"578",12
"579",1
"580",12
"581",1
"582",12
"583",12
"584",12
"585",52
"586",1
"587",1
"588",1
"589",4
"590",12
"591",12
"592",1
"593",1
"594",1
"595",1
"596",12
"597",1
"598",1
"599",1
"600",1
"601",1
"602",12
"603",1
"604",1
"605",12
"606",1
"607",1
"608",1
"609",12
"610",1
"611",1
"612",1
"613",1
"614",365
"615",365
"616",1
"617",1
"618",365
"619",1
"620",365
"621",1
"622",1
"623",1
"624",1
"625",1
"626",1
"627",1
"628",1
"629",1
"630",1
"631",1
"632",1
"633",12
"634",365
"635",12
"636",12
"637",1
"638",12
"639",4
"640",12
"641",1
"642",12
"643",1
"644",1
"645",1
"646",1
"647",1
"648",1
